,ETF,CAGR,변동성,샤프지수,코드,테마
119,TIGER 한중전기차(합성),-0.05784598691246656,0.2215867321026921,-0.2610534771804768,449680,2차전지(배터리)
120,KOSEF K-2차전지북미공급망,-0.40969012906112956,0.4715893412865136,-0.8687434027738612,488200,2차전지(배터리)
121,BNK 미래전략기술액티브,-0.008977743543671868,0.2051543897951459,-0.04376091368376992,457930,퓨쳐텍크
122,PLUS S&P글로벌인프라,0.0912878745281327,0.17704866118126733,0.5156089513417423,269530,인프라스트럭처
123,KODEX K-이노베이션액티브,0.035868263683261015,0.22057808047454447,0.16261028115801537,373490,퓨쳐텍크
124,ACE 차이나항셍테크,-0.08535619591663501,0.36198093828432454,-0.23580301305697604,371870,빅테크
125,PLUS 글로벌AI인프라,1.0466874411494116,0.3119064106632908,3.3557740571075714,489010,로보틱스 & AI
126,KoAct AI인프라액티브,-0.5599700577412328,0.40959511586786934,-1.367130700654821,487130,로보틱스 & AI
127,KODEX 한중전기차(합성),-0.048356343430966175,0.2311791339355592,-0.20917261263053882,450180,2차전지(배터리)
128,SOL 미국테크TOP10인버스(합성),-0.3802000743434659,0.26703058270748,-1.4238072302001379,481200,빅테크
129,SOL 한국형글로벌전기차&2차전지액티브,0.10242211347841024,0.19457077623023122,0.5264002922885832,429980,2차전지(배터리)
130,KODEX 차이나메타버스액티브,0.062156161017422606,0.25582212385891545,0.24296632394351242,428510,메타버스
131,HANARO 미국메타버스iSelect,0.2203225708086849,0.2644233241122418,0.8332191252355745,419170,메타버스
132,TIGER 코스닥글로벌,0.05726983502745875,0.3397363808126666,0.16857139317981315,461580,코스닥글로벌
133,ACE Fn5G플러스,-0.026931271344255436,0.25026253992975495,-0.10761207551004098,380340,5G(차세대통신)
134,ACE Fn성장소비주도주,-0.04407966943591046,0.2017283749789884,-0.21851001100118764,226380,내수소비
135,HANARO 농업융복합산업,0.00169712216499196,0.20417554720622835,0.008312073547562356,314700,농업
136,KOSEF 차이나내수소비TOP CSI,-0.05696836683309103,0.2558916055848766,-0.22262694668268518,454180,내수소비
137,HANARO Fn K-메타버스MZ,-0.11279164242489281,0.2372829033218456,-0.4753466888927289,402460,메타버스
138,HANARO Fn5G산업,0.06323841661507767,0.19548153411144367,0.32350071786844875,367740,5G(차세대통신)
139,SOL 차이나태양광CSI(합성),-0.23938138966615763,0.33916676673515356,-0.7057925868458813,413220,친환경에너지
140,BNK 2차전지양극재,-0.3890137028497921,0.4670964314343758,-0.8328338147546865,466810,2차전지(배터리)
141,KCGI 테크미디어텔레콤액티브,-0.09228702865660787,0.19304516917964865,-0.47805924928753424,407160,로보틱스 & AI
142,HANARO Fn친환경에너지,-0.11576469879010931,0.28025629718859973,-0.4130672529088791,381570,친환경에너지
143,KCGI 스마트커머스액티브,-0.07025743953842256,0.17940912109751922,-0.3916046135705307,407170,E커머스
144,HANARO 글로벌신재생에너지MSCI(합성),-0.14012384727564264,0.20268977502011998,-0.6913217366871776,448510,친환경에너지
145,HANARO 미국애그테크,0.24016786420802094,0.2015542738275395,1.1915791198430319,472490,농업
146,BNK 온디바이스AI,-0.6504735803872721,0.4574806405498754,-1.4218603427795897,487750,로보틱스 & AI
147,UNICORN 포스트IPO액티브,-0.5074911560961561,0.3560300879919192,-1.4254164836418954,476000,IPO&SPAC
148,KOSEF K-테크TOP10,0.08240336987874497,0.22724658160302597,0.36261654321689346,469790,빅테크
149,KOSEF 미국ETF산업STOXX,0.1890550719721269,0.1846491933627026,1.0238608061545653,426330,글로벌자산
150,ACE 미국빅테크TOP7 Plus인버스(합성),-0.4150875469204319,0.24006508081966035,-1.7290625754615703,465620,빅테크
151,KoAct 테크핵심소재공급망액티브,-0.5885664477650626,0.3484421556319998,-1.6891367426467918,482030,퓨쳐텍크
152,HANARO Fn골프테마,-0.17500826001251935,0.20657719117598058,-0.8471809448867564,407300,게임&엔터&스포츠
153,UNICORN 생성형AI강소기업액티브,-0.268546604295837,0.5022365924865617,-0.5347013903671753,470310,로보틱스 & AI
154,TIGER BBIG레버리지,-0.4202362671969945,0.47768296801494553,-0.8797388547122038,412560,뉴딜
155,SOL 한국형글로벌플랫폼&메타버스액티브,0.25747407442166836,0.20900543684738437,1.2319013242209376,429990,메타버스
